arm,architecture,pipeline_workers,seed,run_id,run_dir,test_f1_macro,validation_f1_macro,test_precision_macro,test_recall_macro,accuracy,subset_size,reduction_percent,selection_elapsed_seconds,candidate_count,candidates_per_second,cpu_cores_median,memory_mib_median,cpu_hours,memory_gib_hours,cpu_hours_per_candidate,memory_gib_hours_per_candidate,selection_horizon_seconds,stop_reason,anytime_auc_normalized,target_0_93_reached,time_to_0_93_seconds_censored,target_0_94_reached,time_to_0_94_seconds_censored,target_0_945_reached,time_to_0_945_seconds_censored,target_0_95_reached,time_to_0_95_seconds_censored,construction_active_seconds,local_search_active_seconds,construction_local_search_overlap_seconds,local_search_overlap_percent,unique_candidate_count,distinct_qualified_count,quality_yield_auc_normalized,qualified_subset_throughput,reached_quality_threshold,time_to_first_qualified_seconds_censored,cpu_hours_per_qualified_subset,memory_gib_hours_per_qualified_subset
distributed-w2,distributed,2,120,ablation-distributed-w2-s120-68c3e88378b0,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w2/seed-120/ablation-distributed-w2-s120-68c3e88378b0,0.943899847769,0.941841448561,0.948349168097,0.940791666667,0.9357,13,74.50980392156863,2700.0,293,0.10851851851851851,3.1335,3954.8999999999996,2.3501250000000002,2.8966552734374993,0.00802090443686007,0.009886195472482933,2700.0,run_timeout,0.8692645216541407,True,1356.4170000000001,True,1517.1550000000002,False,2700.0,False,2700.0,2619.9206273555756,2591.00159907341,2590.9609224796295,99.99843008225872,274,0,0.0,0.0,False,2700.0,,
distributed-w4,distributed,4,120,ablation-distributed-w4-s120-ba9e060d56ae,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w4/seed-120/ablation-distributed-w4-s120-ba9e060d56ae,0.91889636362,0.918106717168,0.925185138847,0.91475,0.9077,9,82.35294117647058,2700.0,282,0.10444444444444445,4.138300000000001,4488.204,3.103725000000001,3.2872587890625,0.0110061170212766,0.011656946060505319,2700.0,run_timeout,0.8471986636872593,True,2512.633,False,2700.0,False,2700.0,False,2700.0,2614.2716286182404,2588.7656519412994,2588.722939491272,99.99835008433477,261,0,0.0,0.0,False,2700.0,,
monolith,monolith,0,120,ablation-monolith-s120-1a1abc0035b3,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/monolith/seed-120/ablation-monolith-s120-1a1abc0035b3,0.941857690732,0.941791617606,0.942795708939,0.941,0.93085,15,70.58823529411764,2700.0,196,0.0725925925925926,1.0039500000000001,1336.8319999999999,0.7529625000000001,0.979125,0.0038416454081632656,0.0049955357142857145,2700.0,run_timeout,0.8920225939980515,True,659.054,True,747.707,False,2700.0,False,2700.0,16.024,2615.5890000000004,0.0,0.0,181,0,0.0,0.0,False,2700.0,,
distributed-w1,distributed,1,121,ablation-distributed-w1-s121-c4b801cf36dc,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w1/seed-121/ablation-distributed-w1-s121-c4b801cf36dc,0.942321700653,0.940898079386,0.947181669623,0.938916666667,0.933875,15,70.58823529411765,2700.0,257,0.09518518518518519,2.2509500000000005,4121.056,1.6882125000000003,3.0183515625,0.006568920233463036,0.011744558608949416,2700.0,run_timeout,0.885125465319174,True,1286.904,True,1590.076,False,2700.0,False,2700.0,2617.0639777183533,2586.4689168930054,2586.420478582382,99.99812724172686,245,0,0.0,0.0,False,2700.0,,
distributed-w2,distributed,2,121,ablation-distributed-w2-s121-953eff3c0848,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w2/seed-121/ablation-distributed-w2-s121-953eff3c0848,0.942611935818,0.94448764091,0.943591408135,0.941694444444,0.9319,12,76.47058823529412,2700.0,340,0.1259259259259259,3.1815999999999995,3801.23,2.386199999999999,2.78410400390625,0.007018235294117645,0.00818854118795956,2700.0,run_timeout,0.8935262107478519,True,829.629,True,844.732,False,2700.0,False,2700.0,2610.3430004119873,2592.0894060134888,2582.1628124713898,99.61704277950174,319,0,0.0,0.0,False,2700.0,,
distributed-w4,distributed,4,121,ablation-distributed-w4-s121-512219fa9469,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w4/seed-121/ablation-distributed-w4-s121-512219fa9469,0.943379489654,0.944107164747,0.944753488071,0.942111111111,0.932825,10,80.3921568627451,2700.0,331,0.12259259259259259,4.1272,4337.713,3.0954,3.177035888671875,0.00935166163141994,0.009598295736168806,2700.0,run_timeout,0.8836478995210778,True,1505.146,True,1545.408,True,2691.398,False,2700.0,2620.770753622055,2592.254000902176,2592.2097985744476,99.99829483037878,306,1,0.0031859259259258746,0.00037037037037037035,True,2691.398,3.0954,3.177035888671875
monolith,monolith,0,121,ablation-monolith-s121-adbc6b7a8635,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/monolith/seed-121/ablation-monolith-s121-adbc6b7a8635,0.942321700653,0.940898079386,0.947181669623,0.938916666667,0.933875,15,70.58823529411764,2700.0,216,0.08,1.0053,1307.136,0.7539750000000001,0.957375,0.0034906250000000002,0.004432291666666667,2700.0,run_timeout,0.891953224642948,True,860.616,True,1075.449,False,2700.0,False,2700.0,20.271,2600.016,0.0,0.0,200,0,0.0,0.0,False,2700.0,,
distributed-w1,distributed,1,122,ablation-distributed-w1-s122-4fe967ab047d,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w1/seed-122/ablation-distributed-w1-s122-4fe967ab047d,0.943747840861,0.943630968682,0.944899053821,0.942708333333,0.932775,12,76.47058823529412,2700.0,261,0.09666666666666666,2.4283,4046.9309999999996,1.8212250000000003,2.964060791015625,0.006977873563218392,0.011356554754849138,2700.0,run_timeout,0.8936833690748628,True,775.806,True,775.806,False,2700.0,False,2700.0,2620.990259885788,2602.286063194275,2602.2249648571014,99.99765212833294,249,0,0.0,0.0,False,2700.0,,
distributed-w2,distributed,2,122,ablation-distributed-w2-s122-cf391ea9bd46,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w2/seed-122/ablation-distributed-w2-s122-cf391ea9bd46,0.943747840861,0.943630968682,0.944899053821,0.942708333333,0.932775,12,76.47058823529412,2700.0,327,0.12111111111111111,3.1355,3987.084,2.3516250000000003,2.9202275390624997,0.0071915137614678906,0.008930359446674311,2700.0,run_timeout,0.8863555161158629,True,1008.4039999999999,True,1008.4039999999999,False,2700.0,False,2700.0,2616.6300961971283,2597.4650440216064,2597.4190962314606,99.99823105260833,307,0,0.0,0.0,False,2700.0,,
distributed-w4,distributed,4,122,ablation-distributed-w4-s122-a8383436a4de,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w4/seed-122/ablation-distributed-w4-s122-a8383436a4de,0.943747840861,0.943630968682,0.944899053821,0.942708333333,0.932775,12,76.47058823529412,2700.0,304,0.11259259259259259,4.0874500000000005,4255.938,3.0655875000000004,3.11714208984375,0.010084169407894738,0.01025375687448602,2700.0,run_timeout,0.8796855732339001,True,1627.012,True,1627.012,False,2700.0,False,2700.0,2620.133749961853,2594.7765760421753,2594.7367470264435,99.9984650310127,281,0,0.0,0.0,False,2700.0,,
monolith,monolith,0,122,ablation-monolith-s122-a9250e37a8df,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/monolith/seed-122/ablation-monolith-s122-a9250e37a8df,0.943641089096,0.943674199101,0.948380327368,0.940291666667,0.9351,13,74.50980392156863,2700.0,215,0.07962962962962963,1.00355,1292.288,0.7526625,0.9465,0.0035007558139534883,0.004402325581395349,2700.0,run_timeout,0.9011504819917702,True,533.23,True,533.23,False,2700.0,False,2700.0,11.277000000000001,2618.63,0.0,0.0,199,0,0.0,0.0,False,2700.0,,
distributed-w1,distributed,1,123,ablation-distributed-w1-s123-a199fa016fd3,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w1/seed-123/ablation-distributed-w1-s123-a199fa016fd3,0.940287964967,0.942313699815,0.941098826296,0.939527777778,0.92905,13,74.50980392156863,2700.0,216,0.08,2.1184000000000003,3630.495,1.5888000000000004,2.659053955078125,0.007355555555555558,0.012310434977213543,2700.0,run_timeout,0.8549874832373222,True,1856.872,True,1952.2589999999998,False,2700.0,False,2700.0,2616.314007282257,2587.9994990825653,2587.9511013031006,99.99812991542379,206,0,0.0,0.0,False,2700.0,,
distributed-w2,distributed,2,123,ablation-distributed-w2-s123-a83f092ec873,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w2/seed-123/ablation-distributed-w2-s123-a83f092ec873,0.943481354612,0.941686833619,0.945676500929,0.9415,0.933275,13,74.50980392156863,2700.0,258,0.09555555555555556,3.1579499999999996,4084.6440000000002,2.3684624999999997,2.9916826171875,0.009180087209302324,0.01159566905886628,2700.0,run_timeout,0.8406941802640518,True,2380.094,True,2397.942,False,2700.0,False,2700.0,2617.537422657013,2581.4028718471527,2581.360828638077,99.99837130385441,241,0,0.0,0.0,False,2700.0,,
distributed-w4,distributed,4,123,ablation-distributed-w4-s123-67d2fbbc3b80,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w4/seed-123/ablation-distributed-w4-s123-67d2fbbc3b80,0.930222689467,0.930286251522,0.939288474439,0.924458333333,0.921525,10,80.3921568627451,2700.0,253,0.0937037037037037,4.09005,4506.318,3.0675374999999994,3.3005258789062504,0.012124654150197626,0.013045556833621543,2700.0,run_timeout,0.8396652466689261,True,2042.9189999999999,False,2700.0,False,2700.0,False,2700.0,2565.4969992637634,2573.702479839325,2523.9296691417694,98.06610083770589,235,0,0.0,0.0,False,2700.0,,
monolith,monolith,0,123,ablation-monolith-s123-72fa1b6421e7,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/monolith/seed-123/ablation-monolith-s123-72fa1b6421e7,0.940287964967,0.942313699815,0.941098826296,0.939527777778,0.92905,13,74.50980392156863,2700.0,181,0.06703703703703703,1.0037,1313.28,0.7527750000000001,0.961875,0.004158977900552486,0.005314226519337017,2700.0,run_timeout,0.8688669178142818,True,1219.805,True,1232.698,False,2700.0,False,2700.0,25.807000000000002,2598.623,0.0,0.0,167,0,0.0,0.0,False,2700.0,,
distributed-w1,distributed,1,124,ablation-distributed-w1-s124-3431246ad985,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w1/seed-124/ablation-distributed-w1-s124-3431246ad985,0.944596626255,0.9443697377,0.945943986144,0.943361111111,0.93385,12,76.47058823529412,2700.0,245,0.09074074074074075,2.1346000000000003,3805.002,1.6009500000000003,2.7868666992187503,0.006534489795918369,0.011374966119260206,2700.0,run_timeout,0.8904986582338629,True,1125.896,True,1140.872,False,2700.0,False,2700.0,2620.784440279007,2602.767345905304,2602.6811151504517,99.99668695878685,233,0,0.0,0.0,False,2700.0,,
distributed-w2,distributed,2,124,ablation-distributed-w2-s124-0021511fad8b,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w2/seed-124/ablation-distributed-w2-s124-0021511fad8b,0.945626980741,0.946001538149,0.946790848481,0.944527777778,0.93545,12,76.47058823529412,2700.0,307,0.11370370370370371,3.1408000000000005,3860.732,2.3556000000000004,2.8276845703125,0.007672964169381109,0.009210698926099348,2700.0,run_timeout,0.8820647544694183,True,1422.287,True,1437.966,True,2105.499,False,2700.0,2610.2399990558624,2590.6685478687286,2583.4120259284973,99.71989770956223,287,4,0.6331851851851853,0.0014814814814814814,True,2105.499,0.5889000000000001,0.706921142578125
distributed-w4,distributed,4,124,ablation-distributed-w4-s124-eab6f4018cf0,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w4/seed-124/ablation-distributed-w4-s124-eab6f4018cf0,0.923748565115,0.924369819939,0.928091168348,0.920583333333,0.912075,10,80.3921568627451,2700.0,318,0.11777777777777777,4.07245,4001.09,3.0543375,2.93048583984375,0.009604834905660378,0.009215364276238208,2700.0,run_timeout,0.8747852706031369,True,1629.488,True,2349.834,False,2700.0,False,2700.0,2617.7720618247986,2597.569147825241,2597.528041601181,99.99841751184586,295,0,0.0,0.0,False,2700.0,,
monolith,monolith,0,124,ablation-monolith-s124-94c40225844c,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/monolith/seed-124/ablation-monolith-s124-94c40225844c,0.944596626255,0.9443697377,0.945943986144,0.943361111111,0.93385,12,76.47058823529412,2700.0,212,0.07851851851851852,1.0039500000000001,1327.104,0.7529625000000001,0.9720000000000001,0.003551709905660378,0.004584905660377359,2700.0,run_timeout,0.8995032989135304,True,736.6,True,747.56,False,2700.0,False,2700.0,13.054000000000002,2617.912,0.0,0.0,196,0,0.0,0.0,False,2700.0,,
distributed-w1,distributed,1,125,ablation-distributed-w1-s125-c84c7ad8744b,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w1/seed-125/ablation-distributed-w1-s125-c84c7ad8744b,0.944458460891,0.943909617708,0.94631206995,0.942763888889,0.934275,11,78.43137254901961,2700.0,248,0.09185185185185185,2.2361,3733.1800000000003,1.677075,2.7342626953125,0.006762399193548387,0.011025252803679437,2700.0,run_timeout,0.9015607894790852,True,710.345,True,710.345,False,2700.0,False,2700.0,2620.1609377861023,2600.962704181671,2600.912828683853,99.99808242164573,236,0,0.0,0.0,False,2700.0,,
distributed-w2,distributed,2,125,ablation-distributed-w2-s125-0f8feaf910ee,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w2/seed-125/ablation-distributed-w2-s125-0f8feaf910ee,0.944458460891,0.943909617708,0.94631206995,0.942763888889,0.934275,11,78.43137254901961,2700.0,311,0.11518518518518518,3.122,3945.544,2.3415,2.889802734375,0.007528938906752412,0.009291970206993568,2700.0,run_timeout,0.9016319952996703,True,865.754,True,865.754,False,2700.0,False,2700.0,2620.936473608017,2604.4988520145416,2604.4581656455994,99.99843784270011,291,0,0.0,0.0,False,2700.0,,
distributed-w4,distributed,4,125,ablation-distributed-w4-s125-3c171e6f915b,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w4/seed-125/ablation-distributed-w4-s125-3c171e6f915b,0.944458460891,0.943909617708,0.94631206995,0.942763888889,0.934275,11,78.43137254901961,2700.0,332,0.12296296296296297,4.1533,4146.6539999999995,3.114975,3.03710009765625,0.009382454819277108,0.00914789186041039,2700.0,run_timeout,0.8923977364401704,True,1527.293,True,1527.293,False,2700.0,False,2700.0,2590.3920001983643,2598.160840988159,2573.0379951000214,99.03305270821559,307,0,0.0,0.0,False,2700.0,,
monolith,monolith,0,125,ablation-monolith-s125-f534645e9276,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/monolith/seed-125/ablation-monolith-s125-f534645e9276,0.944458460891,0.943909617708,0.94631206995,0.942763888889,0.934275,11,78.43137254901961,2700.0,217,0.08037037037037037,1.00385,1306.112,0.7528874999999998,0.9566250000000001,0.0034695276497695845,0.004408410138248848,2700.0,run_timeout,0.9068987437341907,True,477.924,True,477.924,False,2700.0,False,2700.0,8.956999999999994,2614.798,0.0,0.0,201,0,0.0,0.0,False,2700.0,,
distributed-w1,distributed,1,126,ablation-distributed-w1-s126-3a5bbe69d7f2,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w1/seed-126/ablation-distributed-w1-s126-3a5bbe69d7f2,0.943677566513,0.942570419337,0.949114080687,0.940041666667,0.93565,13,74.50980392156863,2700.0,251,0.09296296296296297,2.1198000000000006,3769.8100000000004,1.5898500000000004,2.7610913085937505,0.006334063745019922,0.01100036377925797,2700.0,run_timeout,0.8852833627737332,True,1002.145,True,1019.078,False,2700.0,False,2700.0,2619.8384273052216,2597.0703251361847,2597.017968416214,99.99798400838576,239,0,0.0,0.0,False,2700.0,,
distributed-w2,distributed,2,126,ablation-distributed-w2-s126-2b5e0d40ece8,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w2/seed-126/ablation-distributed-w2-s126-2b5e0d40ece8,0.943677566513,0.942570419337,0.949114080687,0.940041666667,0.93565,13,74.50980392156863,2700.0,314,0.1162962962962963,3.332350000000001,3870.0020000000004,2.499262500000001,2.8344741210937503,0.007959434713375799,0.009026987646795383,2700.0,run_timeout,0.8785977444369554,True,1379.652,True,1402.831,False,2700.0,False,2700.0,2616.2530002593994,2592.192643880844,2592.1146931648254,99.99699286562661,293,0,0.0,0.0,False,2700.0,,
distributed-w4,distributed,4,126,ablation-distributed-w4-s126-99ced0aebc61,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/distributed-w4/seed-126/ablation-distributed-w4-s126-99ced0aebc61,0.945938480598,0.94576445937,0.947513899374,0.944472222222,0.93565,8,84.31372549019608,2700.0,336,0.12444444444444444,4.7081,4556.532,3.5310749999999995,3.3373037109375,0.010509151785714285,0.00993245152064732,2700.0,run_timeout,0.870277584056826,True,1097.1200000000001,True,1097.1200000000001,True,1188.3970000000002,False,2700.0,2619.3027958869934,2593.2843160629272,2593.243894815445,99.99844131061018,311,1,0.5598529629629629,0.00037037037037037035,True,1188.397,3.5310749999999995,3.3373037109375
monolith,monolith,0,126,ablation-monolith-s126-3db3cbfcb89b,/home/idscps/nicolas/experiment-artifacts/pipeline-ablation/formal-v11/results/monolith/seed-126/ablation-monolith-s126-3db3cbfcb89b,0.943677566513,0.942570419337,0.949114080687,0.940041666667,0.93565,13,74.50980392156863,2700.0,217,0.08037037037037037,1.0036,1313.792,0.7527,0.9622499999999999,0.0034686635944700464,0.0044343317972350225,2700.0,run_timeout,0.8812882974593874,True,705.596,True,728.547,False,2700.0,False,2700.0,13.89,2612.493,0.0,0.0,201,0,0.0,0.0,False,2700.0,,
