architecture,n,test_f1_macro_median,test_f1_macro_q1,test_f1_macro_q3,validation_f1_macro_median,validation_f1_macro_q1,validation_f1_macro_q3,test_precision_macro_median,test_precision_macro_q1,test_precision_macro_q3,test_recall_macro_median,test_recall_macro_q1,test_recall_macro_q3,accuracy_median,accuracy_q1,accuracy_q3,subset_size_median,subset_size_q1,subset_size_q3,reduction_percent_median,reduction_percent_q1,reduction_percent_q3,elapsed_seconds_median,elapsed_seconds_q1,elapsed_seconds_q3,selection_elapsed_seconds_median,selection_elapsed_seconds_q1,selection_elapsed_seconds_q3,candidate_count_median,candidate_count_q1,candidate_count_q3,candidates_per_second_median,candidates_per_second_q1,candidates_per_second_q3,cpu_cores_median_median,cpu_cores_median_q1,cpu_cores_median_q3,memory_mib_median_median,memory_mib_median_q1,memory_mib_median_q3,cpu_hours_per_candidate_median,cpu_hours_per_candidate_q1,cpu_hours_per_candidate_q3,memory_gib_hours_per_candidate_median,memory_gib_hours_per_candidate_q1,memory_gib_hours_per_candidate_q3,anytime_auc_normalized_median,anytime_auc_normalized_q1,anytime_auc_normalized_q3,time_to_0_93_seconds_censored_median,time_to_0_93_seconds_censored_q1,time_to_0_93_seconds_censored_q3,time_to_0_94_seconds_censored_median,time_to_0_94_seconds_censored_q1,time_to_0_94_seconds_censored_q3,time_to_0_945_seconds_censored_median,time_to_0_945_seconds_censored_q1,time_to_0_945_seconds_censored_q3,time_to_0_95_seconds_censored_median,time_to_0_95_seconds_censored_q1,time_to_0_95_seconds_censored_q3,estimated_cpu_core_seconds_to_0_94_censored_median,estimated_cpu_core_seconds_to_0_94_censored_q1,estimated_cpu_core_seconds_to_0_94_censored_q3,construction_active_seconds_median,construction_active_seconds_q1,construction_active_seconds_q3,local_search_active_seconds_median,local_search_active_seconds_q1,local_search_active_seconds_q3,construction_local_search_overlap_seconds_median,construction_local_search_overlap_seconds_q1,construction_local_search_overlap_seconds_q3,local_search_overlap_percent_median,local_search_overlap_percent_q1,local_search_overlap_percent_q3
distributed,30,0.945528959327,0.94428853107925,0.94633070144975,0.945370189603,0.94417845164225,0.9464289603282501,0.946994320315,0.94617021530875,0.94789925986275,0.9445625,0.942048611111,0.9451770833337501,0.935775,0.9343312500000001,0.9364875,11.0,9.25,11.75,78.43137254901961,76.9607843137255,81.86274509803921,2807.016,2803.0732500000004,2813.996,2700.0,2700.0,2700.0,290.0,266.0,325.0,0.10740740740740741,0.09851851851851852,0.12037037037037038,4.076474999999999,4.0565875,4.238775,5031.780999999999,4870.6615,5146.79675,0.010874974747474748,0.00983121679316888,0.011771032219892797,0.012366461088640642,0.011331423585812756,0.013748126047828437,0.8798842561466593,0.8486725651345278,0.8916956620642065,939.846,524.56525,1678.877,940.0765,706.3835,1685.02775,2390.258,895.07325,2700.0,2700.0,2700.0,2700.0,3942.448525875,2927.9392783999997,7384.5583229375,2616.782172560692,2591.1359998583794,2620.4308871626854,2577.528907418251,2552.0135068893433,2588.114322900772,2557.374939084053,2524.9490208029747,2579.8708556890488,99.99848380570955,98.89612183476248,99.99885050157641
monolith,30,0.944698771628,0.9439981070065,0.94502678296275,0.944192112589,0.94353142576675,0.94530886882775,0.946371522586,0.9456416815485,0.94745158206275,0.942951388889,0.9414236111107499,0.9444375000002501,0.9342375,0.9338124999999999,0.9362125,12.0,11.0,14.0,76.47058823529412,72.54901960784314,78.43137254901961,2721.5645,2716.41,2725.84775,2700.0,2700.0,2700.0,199.5,188.0,212.75,0.07388888888888889,0.06962962962962962,0.0787962962962963,1.00385,1.0038,1.00415,1324.032,1316.48,1332.7359999999999,0.0038205011317907446,0.0035616244103773586,0.004007263962765958,0.00490435872624912,0.0045938621113473296,0.0051620410089224435,0.8970690314145965,0.8654549931548053,0.9048271826648253,669.867,452.5985,835.2239999999999,701.255,509.044,898.31475,2700.0,971.51725,2700.0,2700.0,2700.0,2700.0,705.7393878,511.29384046249993,901.6954404749999,16.0255,10.386500000000005,26.77125,2610.8815,2602.00375,2615.101,0.0,0.0,0.0,0.0,0.0,0.0
