arm_id,arm_code,architecture,class,f1_median,f1_q1,f1_q3,precision_median,recall_median
distributed-gr-vnd-bitflip,GR-VND-BF,distributed,injection,0.9898382851475,0.97510669923025,0.9951705898132499,0.9882723326089999,0.990875
distributed-gr-vnd-bitflip,GR-VND-BF,distributed,inverse_replay,0.9820331143425,0.97068675636775,0.98749604912,0.9835712241704999,0.98
distributed-gr-vnd-bitflip,GR-VND-BF,distributed,masquerade_fake_fault,0.9664831578215001,0.9573591603937499,0.97790107600025,0.9505606934905,0.981875
distributed-gr-vnd-bitflip,GR-VND-BF,distributed,masquerade_fake_normal,0.992226755581,0.9618254182652499,0.9927084708805001,0.9921449725239999,0.98925
distributed-gr-vnd-bitflip,GR-VND-BF,distributed,normal,0.7724189428065,0.7601638963405001,0.7769611943745001,0.693737677377,0.8318749999999999
distributed-gr-vnd-bitflip,GR-VND-BF,distributed,poisoned_high_rate,0.995619868742,0.98374548306475,0.99796726844675,0.9968679837105,0.994375
distributed-gr-vnd-bitflip,GR-VND-BF,distributed,random_replay,0.8313658912845,0.8005454929982501,0.86178898546375,0.905490334335,0.7649999999999999
distributed-gr-vnd-iwss,GR-VND-IWSS,distributed,grayhole,0.705553401655,0.7038482870714999,0.71401979132525,0.7442385681879999,0.665875
distributed-gr-vnd-iwss,GR-VND-IWSS,distributed,high_StNum,0.999499874969,0.9962814098635,0.999624859322,0.999749874937,0.99925
distributed-gr-vnd-iwss,GR-VND-IWSS,distributed,injection,0.99849790323,0.99821568613975,0.998748592107,0.9998747808665001,0.997125
distributed-gr-vnd-iwss,GR-VND-IWSS,distributed,inverse_replay,0.9969354281795,0.99656055981025,0.997906449194,0.9977480266705,0.996375
distributed-gr-vnd-iwss,GR-VND-IWSS,distributed,masquerade_fake_fault,0.998625515432,0.9980952525769999,0.9991562616615,0.998251311516,0.999
distributed-gr-vnd-iwss,GR-VND-IWSS,distributed,masquerade_fake_normal,0.99612655891,0.9954617979305,0.9964036502055,0.996870515253,0.995625
distributed-gr-vnd-iwss,GR-VND-IWSS,distributed,normal,0.8416176371335,0.83896197318775,0.84577190311875,0.8149154183095,0.8711249999999999
distributed-gr-vnd-iwss,GR-VND-IWSS,distributed,poisoned_high_rate,0.9996250937205,0.9995625546805,0.999750062484,0.999500124969,0.9998750000000001
distributed-gr-vnd-iwss,GR-VND-IWSS,distributed,random_replay,0.9425821174994999,0.93944632153425,0.94668462989025,0.963371604445,0.923875
distributed-gr-vnd-iwssr,GR-VND-IWSSR,distributed,grayhole,0.717959774718,0.715657030266,0.7220824685207501,0.720698105973,0.71925
distributed-gr-vnd-iwssr,GR-VND-IWSSR,distributed,high_StNum,0.999186944866,0.9967202844287499,0.999624859322,0.9997497183349999,0.998625
distributed-gr-vnd-iwssr,GR-VND-IWSSR,distributed,injection,0.998372355077,0.99824791921875,0.9986857633164999,1.0,0.997
distributed-gr-vnd-iwssr,GR-VND-IWSSR,distributed,inverse_replay,0.996750527919,0.9965292167425,0.9969670410007501,0.997249651175,0.996375
distributed-gr-vnd-iwssr,GR-VND-IWSSR,distributed,masquerade_fake_fault,0.997565565694,0.9952955277844999,0.9982815037477499,0.9963845641375,0.99875
distributed-gr-vnd-iwssr,GR-VND-IWSSR,distributed,masquerade_fake_normal,0.9951763861759999,0.99474100644475,0.9957111309855,0.9968617849679999,0.9935
distributed-gr-vnd-iwssr,GR-VND-IWSSR,distributed,normal,0.8350849708615,0.8296834005155,0.8390272825882501,0.824973365104,0.8454375000000001
distributed-gr-vnd-iwssr,GR-VND-IWSSR,distributed,poisoned_high_rate,0.9995000624920001,0.999375078115,0.999625140572,0.9992503747654999,0.999625
distributed-gr-vnd-iwssr,GR-VND-IWSSR,distributed,random_replay,0.9367984723225,0.93058702635075,0.9413117948662499,0.953829371324,0.919375
distributed-ig-rvnd-bitflip,IG-RVND-BF,distributed,grayhole,0.7195594506280001,0.71100128530975,0.72210363156475,0.7260625760370001,0.7166250000000001
distributed-ig-rvnd-bitflip,IG-RVND-BF,distributed,high_StNum,0.999624859322,0.999624859322,0.999624859322,1.0,0.99925
