arm_id,arm_code,architecture,n_runs,validation_f1_macro_median,validation_f1_macro_q1,validation_f1_macro_q3,test_f1_macro_mean,test_f1_macro_sd,test_f1_macro_median,test_f1_macro_q1,test_f1_macro_q3,test_f1_macro_median_ci_low,test_f1_macro_median_ci_high,test_precision_macro_median,test_recall_macro_median,test_accuracy_median,subset_size_median,subset_size_q1,subset_size_q3,dimensionality_reduction_percent_median,unique_final_subsets,accepted_improvements_median,internal_metric_rows_median,end_to_end_time_seconds_median,internal_target_reached_runs,internal_time_to_target_seconds_median,cpu_cores_median_median,cpu_cores_median_q1,cpu_cores_median_q3,cpu_cores_peak_median,cpu_cores_peak_q1,cpu_cores_peak_q3,cpu_budget_utilization_median_percent_median,cpu_budget_utilization_median_percent_q1,cpu_budget_utilization_median_percent_q3,memory_mib_median_median,memory_mib_median_q1,memory_mib_median_q3,memory_mib_peak_median,memory_mib_peak_q1,memory_mib_peak_q3,memory_budget_utilization_peak_percent_median,memory_budget_utilization_peak_percent_q1,memory_budget_utilization_peak_percent_q3,pids_median_median,pids_median_q1,pids_median_q3,network_rx_final_mib_median,network_rx_final_mib_q1,network_rx_final_mib_q3,network_tx_final_mib_median,network_tx_final_mib_q1,network_tx_final_mib_q3,disk_read_final_mib_median,disk_read_final_mib_q1,disk_read_final_mib_q3,disk_write_final_mib_median,disk_write_final_mib_q1,disk_write_final_mib_q3
distributed-relieff-vnd-iwssr,RF-VND-IWSSR,distributed,8,0.9441115292544999,0.9433168759127499,0.94525450545125,0.94370110933725,0.003058466082575496,0.9447504331965,0.94409984964525,0.944867061027,0.942345806301,0.944918227407,0.9463198394615,0.9431597222225,0.934275,11.0,10.75,12.25,78.43137254901961,8,6.5,208.5,2815.263,0,,2.10425,2.1010375,2.1279125,4.222099999999999,3.476625,5.16115,26.303124999999998,26.26296875,26.598906250000002,4725.976,4452.33,4807.522,5858.286,5634.922999999999,5980.81,35.75614013671875,34.39284057617187,36.50396728515625,373.5,373.0,374.0,13.297176361083984,12.623214721679688,14.493441581726074,13.270807266235352,12.595987319946289,14.465999603271484,0.003910064697265625,0.0029325485229492188,0.004885196685791016,23.994922637939453,23.9408016204834,24.074554443359375
distributed-relieff-rvnd-iwssr,RF-RVND-IWSSR,distributed,8,0.942974202202,0.9418304277985,0.94429364241925,0.94350477292575,0.0016671816139616244,0.9437953340885,0.9429401156555,0.9443293232632499,0.941173280102,0.945365305977,0.9460780839845,0.940875,0.9344375,13.0,9.0,14.0,74.50980392156863,8,7.0,158.5,2824.565,0,,4.073449999999999,4.06475,4.0797625,5.4295,5.21265,6.328950000000001,50.918124999999996,50.80937500000001,50.997031250000006,5618.735,5474.538,5729.6545,7107.044,6925.704,7415.3550000000005,43.377954101562494,42.271142578124994,45.259735107421875,378.0,376.75,378.25,12.873458862304688,11.561322212219238,13.401603698730469,12.842416763305664,11.53862476348877,13.381052017211914,0.0,0.0,0.0,38.927555084228516,38.6967658996582,39.623260498046875
distributed-relieff-rvnd-bitflip,RF-RVND-BF,distributed,8,0.942908235984,0.94123982844875,0.94327634479825,0.9431284691893751,0.0015117863583264824,0.9434549458335,0.942213656369,0.94426389755175,0.941212468604,0.944708537301,0.9459932956365,0.9413263888885,0.9341375000000001,11.0,10.5,12.25,78.43137254901961,8,9.5,173.5,2847.1345,0,,4.075175,4.0713875,4.09535,6.222149999999999,5.19245,6.5568,50.939687500000005,50.892343749999995,51.191875,5558.983,5481.103999999999,5689.531,7097.156000000001,6901.0960000000005,7284.349,43.317602539062506,42.120947265625,44.46013793945312,377.0,376.0,378.0,11.334419250488281,10.322785377502441,12.904715538024902,11.309146881103516,10.294294357299805,12.887859344482422,0.0019550323486328125,0.0,0.004885196685791016,38.80119323730469,38.71655464172363,38.88821601867676
distributed-ig-vnd-iwss,IG-VND-IWSS,distributed,8,0.9438992732205,0.943266480208,0.944201426031,0.943667061054625,0.0010724911613400692,0.9433819572325,0.94293946193425,0.9445365813834999,0.942911961814,0.944596317358,0.9455804568520001,0.9421041666665,0.9336,14.0,14.0,15.0,72.54901960784314,8,7.5,189.5,2811.036,0,,3.0547,3.0458749999999997,3.0642625,5.56155,4.7745750000000005,6.2593000000000005,38.18375,38.0734375,38.30328125,5172.139000000001,5003.5779999999995,5298.074500000001,6735.646000000001,6209.750999999999,6773.972,41.11112060546875,37.901312255859374,41.3450439453125,375.0,374.75,376.0,11.852121353149414,11.738801002502441,12.517499923706055,11.832237243652344,11.712288856506348,12.479948997497559,0.0019550323486328125,0.0,0.004885196685791016,31.531333923339844,31.5093994140625,31.55660629272461
distributed-ig-rvnd-bitflip,IG-RVND-BF,distributed,8,0.9435369732225001,0.9423551881995,0.9442569426675,0.9435827435751251,0.0013639476804111952,0.9433423598885,0.94262713056975,0.944107107767,0.942235668582,0.94460559593,0.945262571144,0.942333333333,0.9333374999999999,12.5,11.0,13.25,75.49019607843138,8,8.0,139.0,2800.1580000000004,0,,4.0962499999999995,4.0836250000000005,4.11045,5.88645,5.44795,6.301975,51.203125,51.04531250000001,51.38062500000001,5867.427000000001,5765.98,5909.9805,7522.332,7181.787,7766.603999999999,45.9126708984375,43.83414916992187,47.403588867187494,378.75,378.0,380.0,10.067558288574219,9.97021198272705,11.191344261169434,10.046100616455078,9.944605827331543,11.175012588500977,0.0,0.0,0.004885196685791016,38.904666900634766,38.873910903930664,39.47806358337402
distributed-relieff-rvnd-iwss,RF-RVND-IWSS,distributed,8,0.942325937973,0.9416458053635001,0.9447832942484999,0.94356300928775,0.0024079146102150614,0.9431842725845,0.942290194286,0.9451682101885001,0.941846545589,0.946619248474,0.9473145046225,0.9412916666665,0.934125,12.0,10.75,14.25,76.47058823529412,8,7.5,179.0,2838.1,0,,4.07815,4.0674125,4.089049999999999,5.4081,5.2447,5.749775,50.976875,50.84265625,51.113125,5563.146000000001,5412.8055,5670.8185,7115.882,6896.74,7475.209999999999,43.43189697265625,42.0943603515625,45.62506103515624,379.5,378.0,380.0,12.246179580688477,11.65616512298584,13.987565040588379,12.228870391845703,11.625003814697266,13.95409107208252,0.0,0.0,0.0009775161743164062,38.7420654296875,38.69771957397461,40.282487869262695
distributed-ig-rvnd-iwss,IG-RVND-IWSS,distributed,8,0.943405039931,0.94304982350025,0.94402201679475,0.943097509047125,0.0012234548556930864,0.9428650900745,0.9422150350165,0.9433523398015,0.942125342281,0.944516669392,0.9452174665665,0.9414236111109999,0.9327875,14.0,10.75,15.0,72.54901960784314,8,9.5,163.5,2802.114,0,,4.082425,4.0717875,4.098149999999999,5.38845,5.180725,6.411900000000001,51.030312499999994,50.89734375,51.226874999999986,5647.886,5529.353,5652.2865,7040.188,6878.629,7193.237999999999,42.9698974609375,41.983819580078126,43.90404052734375,377.5,377.0,379.0,9.826898574829102,9.716105461120605,9.994745254516602,9.799003601074219,9.685277938842773,9.972262382507324,0.0,0.0,0.003910064697265625,38.908958435058594,38.863420486450195,38.9249324798584
distributed-relieff-vnd-iwss,RF-VND-IWSS,distributed,8,0.9427525414115,0.9420512460905,0.94421215205225,0.9430510615315,0.0017248491102202581,0.942647285358,0.94199349368525,0.9439987026050001,0.941726756792,0.944489615768,0.945525788703,0.9415625000000001,0.9327624999999999,12.5,9.0,13.5,75.49019607843138,8,9.0,196.5,2825.549,0,,3.049875,3.0398250000000004,3.05455,4.80455,4.0756250000000005,6.438575,38.1234375,37.99781250000001,38.18187499999999,5072.536999999999,4941.612499999999,5156.7384999999995,6457.2880000000005,6287.832,6746.111,39.412158203125,38.37788085937501,41.174993896484374,374.5,373.0,375.25,14.864921569824219,13.720369338989258,15.697336196899414,14.841318130493164,13.688349723815918,15.668964385986328,0.003910064697265625,0.0,0.004885196685791016,31.3720703125,31.325817108154297,31.40997886657715
distributed-su-vnd-iwssr,SU-VND-IWSSR,distributed,8,0.9423454474865,0.94184023933425,0.94314389247475,0.941007309787625,0.0035308759023622567,0.942155234304,0.9419546602555,0.942223523199,0.94192567363,0.942237141906,0.9433776304920001,0.941125,0.9314374999999999,12.5,11.75,13.0,75.49019607843138,8,6.0,187.5,2822.7555,0,,2.124075,2.1177499999999996,2.13395,4.90095,3.601325,6.450200000000001,26.5509375,26.471874999999997,26.674374999999998,4372.6359999999995,4311.3625,4572.375,5804.799999999999,5522.7919999999995,5868.379,35.4296875,33.708447265625,35.817742919921876,374.0,373.0,374.0,16.041946411132812,14.861416816711426,17.95492172241211,16.025972366333008,14.792871475219727,17.930269241333008,0.0,0.0,0.006842613220214844,23.9105224609375,23.85854721069336,23.99897575378418
distributed-gr-vnd-iwss,GR-VND-IWSS,distributed,8,0.941384978216,0.9410235427260001,0.94277563826,0.9427239628651249,0.0018402798873515195,0.9420099450305,0.9417596035410001,0.9431291655255,0.941529906729,0.945138327021,0.945598245446,0.9397500000000001,0.9324625,16.0,13.25,16.75,68.62745098039215,8,8.5,196.0,2799.535,0,,3.060025,3.0503375,3.07115,6.47115,5.793875,6.652899999999999,38.2503125,38.12921875,38.389374999999994,5072.875,4991.02175,5154.879000000001,6607.986000000001,6275.673000000001,6847.556,40.331945800781256,38.30366821289063,41.7941650390625,375.0,374.0,375.0,11.475515365600586,11.434340476989746,11.543488502502441,11.452436447143555,11.40284538269043,11.520910263061523,0.0019550323486328125,0.0,0.003910064697265625,31.60715103149414,31.562328338623047,31.681299209594727
